module_code,module_name,module_description,key_concepts,sentiment_rating
DSA1101,Introduction to Data Science,"The abundance of data being harvested from various sectors of today’s society increases the demand for skilled data science practitioners. This course introduces foundational data science concepts to prepare students for tackling real-world data analytic challenges. Major topics include basic concepts in probability and statistics, data manipulation, supervised and unsupervised learning, model validation and big data analysis, alongside special topics discussed in guest lectures delivered by practicing data scientists from government and industry. Throughout the course, students will learn fundamental R programming skills to implement and apply the data science methods in motivating realworld case studies from diverse fields.","datum, probability, model, programming, data science, unsupervised learning",0.9993
CS1010S,Programming Methodology,"This course introduces the fundamental concepts of problem solving by computing and programming using an imperative programming language. It is the first and foremost introductory course to computing and is equivalent to CS1010 and CS1010E Programming Methodology. Topics covered include problem solving by computing, writing pseudo-codes, basic problem formulation and problem solving, program development, coding, testing and debugging, fundamental programming constructs (variables, types, expressions, assignments, functions, control structures, etc.), fundamental data structures: arrays, strings and structures, simple file processing, and basic recursion. This course is appropriate for FoS students.","programming, structure, data structure",1.0
CS2040,Data Structures and Algorithms,"This course introduces students to the design and implementation of fundamental data structures and algorithms. The course covers basic data structures (linked lists, stacks, queues, hash tables, binary heaps, trees, and graphs), searching and sorting algorithms, and basic analysis of algorithms.","datum, structure, algorithm, datum structure",0.9998
DSA2101,Essential Data Analytics Tools: Data Visualisation,"Data visualisation is an essential tool for data analytics. This course is an introduction to data cleaning, exploration, analysis and visualisation. Students will learn how to take raw data, extract meaningful information, use statistical tools, and make visualisations. Topics include: programming in R, introduction to data storage systems, data manipulation, exploratory data analysis, dimension reduction, statistical graphics for univariate, multivariate (high-dimensional), temporal and spatial data, basic design principles and critical evaluation of visual displays of data.","datum, programming, dimension reduction",0.9961
DSA2102,Essential Data Analytics Tools: Numerical Computation,"This course aims at introducing basic concepts and wellestablished numerical methods that are very related to the computing foundation of data science and analytics. The emphasis is on the tight integration of numerical algorithms, implementation in industrial programming language, and examination on practical examples drawn from various disciplines related to data science. Major topics include: computer arithmetic, matrix multiplication, numerical methods for solving linear systems, least squares method, interpolation, concrete implementations in industrial program language, and sample applications related to data science.","datum, algorithm, programming, matrix",0.986
MA2001,Linear Algebra I,"This course is a first course in linear algebra. Fundamental concepts of linear algebra will be introduced and investigated in the context of the Euclidean spaces R^n. Proofs of results will be presented in the concrete setting. Students are expected to acquire computational facilities and geometric intuition with regard to vectors and matrices. Some applications will be presented. Major topics: Systems of linear equations, matrices, determinants, Euclidean spaces, linear combinations and linear span, subspaces, linear independence, bases and dimension, rank of a matrix, inner products, eigenvalues and eigenvectors, diagonalization, linear transformations between Euclidean spaces, applications.","vector, matrix, linear algebra",0.9999
MA2002,Calculus,"This is a course in single-variable calculus. We will introduce precise definitions of limit, continuity, derivative, and the Riemann integral. Students will be exposed to computational techniques and applications of differentiation and integration. This course concludes with an introduction to first order differential equations. Major topics Functions; limit and continuity; derivative; Intermediate Value Theorem; chain rule; implicit differentiation; higher derivatives; Mean Value Theorem; Riemann integral; Fundamental Theorem of Calculus; elementary transcendental functions and their inverses; techniques of integration; computation of area, volume and arc length using definite integrals; first order differential equations.","calculus, mean",0.9988
MA2311,Techniques in Advanced Calculus,"This module applies advanced calculus to practical mathematical problems, and is for students with advanced calculus background and with interest in the applications of calculus. Major topics Sequences, series, power series. Vector algebra in R2 and R3. Scalar- and vector-valued functions of several variables. Partial derivatives, total differentials. Mean value Theorem. Taylor's formula. Jacobian. Chain rule. Lagrange multiplier. Multiple integrals.","calculus, vector, mean",0.9919
ST2131,Probability,"This course gives an elementary introduction to probability theory for students with knowledge of elementary calculus. It will cover not only the mathematics of probability theory but will work through diverse examples to illustrate the wide scope of applicability of probability, such as in engineering and computing, social and management sciences. Topics covered are: counting methods, sample space and events, axioms of probability, conditional probability, independence, random variables, discrete and continuous distributions, joint and marginal distributions, conditional distribution, independence of random variables, expectation, conditional expectation, moment generating function, central limit theorem, and weak law of large numbers.","probability, calculus",0.9997
ST2132,Mathematical Statistics,"This course introduces students to the theoretical underpinnings of statistical methodology and concentrates on inferential procedures within the framework of parametric models. Topic include: random sample and statistics, method of moments, maximum likelihood estimate, Fisher information, sufficiency and completeness, consistency and unbiasedness, sampling distributions, x2-, t- and Fdistributions, confidence intervals, exact and asymptotic pivotal method, concepts of hypothesis testing, likelihood ratio test, Neyman-Pearson lemma. This course is targeted at students who are interested in Statistic and are able to meet the prerequisite.","model, confidence interval",0.9998
